Concepto,Notas,2025-09-01 00:00:00,2024,2023,2022,2021,2020
ACTIVOS NO CORRIENTES,,,,,,,
"Propiedades, planta y equipo, neto",8.0,17319341,17522981.0,17742271.0,17365315.0,17230679,15179609
"Activos intangibles, neto",9.0,2783735,2769524.0,2760600.0,2755491.0,2783815,2774772
"Cuentas por cobrar, neto",10.0,60923,32960.0,1910168.0,2024312.0,24142,26655
Instrumentos financieros,,544561,2493808.0,84.0,84.0,84,84
Operaciones con derivados,11.0,1202870,90034.0,31816.0,228189.0,85660,-
Efectivo restringido,12.0,27114,2928.0,2541.0,2159.0,2185,2127
Otros activos,13.0,3230,,,950.0,950,950
Total Activos No Corrientes,,21941774,22912235.0,22447480.0,22376500.0,20127515,17984197
,,,,,,,
ACTIVOS CORRIENTES,,,,,,,
Inventarios,14.0,41304,33172.0,29526.0,27889.0,35705,34138
"Cuentas por cobrar, neto",10.0,735617,815437.0,934414.0,883971.0,663842,514164
Instrumentos financieros,,2716711,2493808.0,84.0,84.0,84,84
Activos por impuestos,15.0,70638,21940.0,7372.0,1919.0,52077,434
Otros activos,13.0,143617,38012.0,26385.0,57682.0,28345,11708
Operaciones con derivados,11.0,48341,25205.0,61809.0,150851.0,24079,-
Efectivo restringido,12.0,8297,50.0,50.0,50.0,16901,261
Efectivo y equivalentes de efectivo,12.0,229542,447198.0,220352.0,309200.0,172827,83749
Total Activos Corrientes,,3923479,1381014.0,1279908.0,1431562.0,993776,644454
,,,,,,,
TOTAL ACTIVOS,,25865253,24293249.0,23727388.0,23808062.0,21121291,18628651
,,,,,,,
PATRIMONIO,,,,,,,
Capital,16.0,141552,141552.0,141552.0,141552.0,141552,141552
Reservas,17.0,1550093,1140297.0,863781.0,660660.0,1580616,2006640
Superávit de capital,17.0,2074259,2074259.0,2074259.0,2074259.0,2074259,2074259
Ganancias retenidas,38.0,1268350,1268350.0,1268261.0,1268261.0,1268261,1268261
Otro resultado integral,37.0,47436,32508.0,46069.0,185776.0,91255,-28353
Resultado integral total periodo (Utilidad Neta),,606104,904616.0,1035242.0,1233838.0,523127,496129
Total Patrimonio de los Accionistas,,5687794,5561582.0,5429164.0,5564346.0,5679070,5958488
,,,,,,,
PASIVOS NO CORRIENTES,,,,,,,
Operaciones de financiamiento,18.0,10985428,10148678.0,9814359.0,9781531.0,7132894,5834931
Obligaciones con vinculados,19.0,2538988,2542108.0,2541954.0,2540445.0,3434629,2767416
Operaciones con derivados,11.0,-,11065.0,3781.0,18602.0,-,13150
"Impuestos, contribuciones y tasas",20.0,4753643,4654129.0,4506519.0,4423094.0,4208665,3458998
Beneficios a empleados,21.0,126769,130726.0,150693.0,99556.0,125550,135963
Provisiones,22.0,37130,35280.0,62904.0,45138.0,22005,26673
Cuentas por pagar,23.0,3230,2928.0,2541.0,2159.0,1956,1902
Total Pasivos No Corrientes,,18515826,17524914.0,17082751.0,16910525.0,14925699,12239033
,,,,,,,
PASIVOS CORRIENTES,,,,,,,
Operaciones de financiamiento,18.0,864080,749154.0,747995.0,736514.0,232182,184414
Cuentas por pagar,23.0,494062,270730.0,250856.0,233323.0,169907,129972
Obligaciones con vinculados,19.0,1554,3107.0,9321.0,6335.0,1908,1459
Operaciones con derivados,11.0,91772,22239.0,38965.0,35914.0,2968,43188
"Impuestos, contribuciones y tasas",20.0,37454,20614.0,118520.0,267227.0,64123,24130
Beneficios a empleados,21.0,44126,33518.0,33037.0,26419.0,29362,27561
Provisiones,22.0,11161,19199.0,5226.0,1757.0,1887,2274
Otros pasivos,24.0,117424,88192.0,11553.0,25702.0,14185,18132
Total Pasivos Corrientes,,1661633,1206753.0,1215473.0,1333191.0,516522,431130
,,,,,,,
TOTAL PASIVOS,,20177459,18731667.0,18298224.0,18243716.0,15442221,12670163
TOTAL PATRIMONIO Y PASIVOS,,25865253,24293249.0,23727388.0,23808062.0,21121291,18628651
